Jogo ID;Home;Gols Home;Gols  Away;Away;odd Home;odd Draw;odd Away;Home Score HT;Away Score HT;Corner Home;Corner Away;Total Corner Match;;;;;;;;;;;;;;;;;;;;;;;;
150;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
151;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
152;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
153;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
154;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
155;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
156;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
157;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
158;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
159;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
160;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
161;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
162;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
163;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
164;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
165;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
166;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
167;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
168;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
169;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
170;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
171;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
172;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
173;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
174;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
175;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
176;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
177;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
178;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
179;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
180;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
181;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
182;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
183;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
184;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
185;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
186;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
187;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
188;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
189;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
190;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
191;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
192;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
193;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
194;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
195;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
196;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
197;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
198;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
199;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
200;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
201;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
202;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
203;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
204;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
205;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
206;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
207;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
208;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
209;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
210;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
211;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
212;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
213;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
214;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
215;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
216;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
217;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
218;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
219;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
220;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
221;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
222;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
223;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
224;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
225;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
226;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
227;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
228;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
229;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
230;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
231;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
232;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
233;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
234;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
235;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
236;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
237;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
238;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
239;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
240;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
241;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
242;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
243;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
244;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
245;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
246;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
247;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
248;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
249;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
250;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
251;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
252;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
253;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
254;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
255;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
256;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
257;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
258;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
259;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
260;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
261;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
262;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
263;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
264;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
265;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
266;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
267;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
268;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
269;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
270;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
271;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
272;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
273;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
274;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
275;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
276;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
277;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
278;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
279;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
280;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
281;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
282;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
283;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
284;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
285;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
286;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
287;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
288;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
289;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
290;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
291;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
292;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
293;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
294;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
295;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
296;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
297;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
298;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
299;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
300;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
301;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
302;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
303;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
304;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
305;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
306;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
307;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
308;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
309;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
310;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
311;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
312;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
313;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
314;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
315;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
316;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
317;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
318;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
319;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
320;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
321;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
322;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
323;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
324;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
325;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
326;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
327;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
328;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
329;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
330;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
331;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
332;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
333;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
334;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
335;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
336;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
337;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
338;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
339;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
340;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
341;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
342;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
343;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
344;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
345;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
346;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
347;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
348;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
349;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
350;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
351;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
352;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
353;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
354;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
355;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
356;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
357;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
358;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
359;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
360;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
361;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
362;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
363;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
364;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
365;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
366;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
367;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
368;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
369;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
370;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
371;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
372;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
373;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
374;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
375;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
376;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
377;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
378;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
379;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
380;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
